node1,node2,123risksum
[-74.0410675   40.60782834],[-74.02584546  40.67562386],2.0
[-73.94149492  40.68576453],[-73.94163933  40.68649727],3.0
[-73.99993697  40.74839932],[-74.00090318  40.74881787],3.0
[-73.98408213  40.73754552],[-73.981841    40.73660268],2.0
[-73.92707454  40.83862238],[-73.92763145  40.83771067],2.0
[-73.85405453  40.74815832],[-73.85550631  40.74771194],3.0
[-73.77634073  40.6798974 ],[-73.77547502  40.68018158],2.0
[-73.9490604   40.69463778],[-73.94920679  40.69537763],2.0
[-73.82651837  40.83100127],[-73.82737292  40.83058234],2.0
[-73.82713925  40.76165204],[-73.82751597  40.76242109],3.0
[-74.11912586  40.60652377],[-74.11814041  40.60661589],2.0
[-73.99859426  40.75024084],[-73.9990398   40.74963752],2.0
[-73.85172236  40.87684337],[-73.85093187  40.87583001],2.0
[-73.94310041  40.69382303],[-73.94324249  40.69455749],2.0
[-73.93994981  40.83607749],[-73.94249853  40.83713789],2.0
[-73.9870327   40.71807058],[-73.98663134  40.71792808],2.0
[-73.91248552  40.8047245 ],[-73.91235007  40.80466314],3.0
[-73.8381048   40.57951129],[-73.83699421  40.57759162],1.0
[-73.79760127  40.69100164],[-73.79733262  40.69062834],2.0
[-73.98843135  40.65925121],[-73.98901287  40.6586908 ],2.0
[-73.76840655  40.77866174],[-73.77879202  40.78858054],1.0
[-74.13476961  40.63602507],[-74.13521377  40.6353452 ],2.0
[-74.15000628  40.62243495],[-74.14898867  40.62419007],2.0
[-74.13694365  40.63858085],[-74.13554058  40.63834357],2.0
[-73.89111115  40.85838432],[-73.8922228   40.85883324],3.0
[-73.91746038  40.81676131],[-73.91711846  40.81751201],4.0
[-73.91746038  40.81676131],[-73.91711846  40.81751201],4.0
[-73.89276014  40.86502086],[-73.89323192  40.86527288],5.0
[-73.89644912  40.6591031 ],[-73.89674046  40.66021622],3.0
[-74.10061839  40.57121731],[-74.09264157  40.56703846],4.0
[-74.10061839  40.57121731],[-74.09264157  40.56703846],4.0
[-73.93723532  40.81916657],[-73.93678587  40.81979746],2.0
[-73.96742588  40.76020761],[-73.96802437  40.75957814],2.0
[-73.95601508  40.77201996],[-73.95647902  40.7713872 ],2.0
[-73.94338802  40.69528899],[-73.9462234   40.69496248],2.0
[-73.96288529  40.60702035],[-73.96372415  40.60675812],3.0
[-73.84562647  40.75462569],[-73.84324381  40.7553368 ],4.0
[-73.93399585  40.65811865],[-73.93423037  40.66041523],3.0
[-73.9906222   40.75099175],[-73.99346418  40.75219006],2.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],3.0
[-73.94219451  40.81718147],[-73.93952396  40.81605471],2.0
[-73.90700211  40.88584522],[-73.9074724   40.88443502],3.0
[-73.91169121  40.68812527],[-73.91313938  40.68665173],3.0
[-73.90848055  40.71018287],[-73.90774098  40.70974384],3.0
[-73.90960462  40.69383127],[-73.90804743  40.69541616],2.0
[-73.91861506  40.85284442],[-73.91833041  40.85298149],2.0
[-73.91518091  40.82167009],[-73.91560957  40.82082332],2.0
[-73.93560659  40.6370379 ],[-73.93585629  40.63937813],1.0
[-73.9529045   40.80754947],[-73.95285737  40.80670914],1.0
[-73.94654653  40.81650234],[-73.94378369  40.8153419 ],3.0
[-73.87971817  40.86954651],[-73.88027193  40.86924969],2.0
[-73.91894226  40.86446291],[-73.9193619   40.86480935],2.0
[-73.75515349  40.66549196],[-73.75481483  40.66533981],3.0
[-73.91756599  40.82388367],[-73.91677401  40.82438709],2.0
[-73.93400885  40.69910936],[-73.93476155  40.69870009],4.0
[-73.99201358  40.71623551],[-73.99282209  40.71647842],6.0
[-73.92778223  40.83416992],[-73.92699376  40.83533188],2.0
[-73.90319077  40.66659158],[-73.90501491  40.66631914],2.0
[-73.76574528  40.70200324],[-73.76543913  40.70174304],3.0
[-73.95766801  40.61050371],[-73.95814971  40.6130582 ],3.0
[-73.87153275  40.82918168],[-73.87179422  40.83030544],2.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],4.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],4.0
[-73.92048117  40.81456369],[-73.92033105  40.81463789],2.0
[-73.86736051  40.86542918],[-73.86731755  40.86657708],3.0
[-73.9190063   40.63589362],[-73.9179093   40.63509827],3.0
[-73.95125247  40.6041384 ],[-73.95169115  40.60646246],2.0
[-73.95056231  40.80068811],[-73.95102358  40.80005854],4.0
[-73.88237897  40.86915164],[-73.88423911  40.86800616],3.0
[-73.88723207  40.85248423],[-73.8880054  40.8509761],4.0
[-73.75944183  40.67633611],[-73.75833822  40.67678634],3.0
[-73.93444719  40.58665207],[-73.93466872  40.58782721],2.0
[-73.8215581   40.76053432],[-73.82393339  40.75989376],3.0
[-73.94212011  40.7979438 ],[-73.94337768  40.79621787],2.0
[-73.99051504  40.74604032],[-73.99006749  40.74665928],2.0
[-73.95056231  40.80068811],[-73.95102358  40.80005854],4.0
[-73.93698362  40.66553551],[-73.93422426  40.66537774],2.0
[-73.92687134  40.77977201],[-73.95651384  40.75784213],3.0
[-73.87678881  40.74751062],[-73.87489576  40.74666963],2.0
[-73.90627054  40.65975455],[-73.9071912  40.6596194],2.0
[-74.00391759  40.72004031],[-74.00209162  40.71915339],2.0
[-73.88253341  40.84343073],[-73.88338302  40.84386285],2.0
[-73.90778048  40.82521384],[-73.90624127  40.82482068],2.0
[-73.92227774  40.68047629],[-73.9195747   40.68078727],2.0
[-73.9881771   40.74828882],[-73.98549602  40.74715233],3.0
[-73.97659585  40.6821184 ],[-73.97702317  40.6814869 ],2.0
[-73.82684688  40.68583831],[-73.82577564  40.68366617],2.0
[-73.76837331  40.67655024],[-73.77109849  40.67824365],3.0
[-73.88838027  40.66878948],[-73.88798796  40.6672546 ],2.0
[-74.15134973  40.6254217 ],[-74.14876805  40.62510476],3.0
[-74.11255203  40.56759596],[-74.11142503  40.56873283],1.0
[-73.91481778  40.84577954],[-73.91457528  40.8461587 ],1.0
[-73.83206636  40.76311447],[-73.83188163  40.76282899],0.0
[-73.81543472  40.58646012],[-73.81658725  40.58598421],0.0
[-73.9499153   40.67609616],[-73.95000107  40.6752043 ],0.0
[-73.94658818  40.78494138],[-73.94882667  40.78588117],0.0
[-74.00396899  40.74286301],[-74.00112917  40.7416681 ],0.0
[-73.94701721  40.68437948],[-73.95029938  40.68400141],0.0
[-73.85281837  40.86762441],[-73.85289096  40.86538787],0.0
[-73.85281837  40.86762441],[-73.85289096  40.86538787],0.0
[-73.95565196  40.64663041],[-73.95573651  40.647869  ],0.0
[-73.93740734  40.81017561],[-73.93603212  40.8120751 ],0.0
[-73.91143692  40.63385683],[-73.91088977  40.63336786],0.0
[-73.91137474  40.68097994],[-73.90871891  40.68128448],0.0
[-73.82252369  40.58317741],[-73.82184596  40.58211894],0.0
[-73.86324874  40.88024182],[-73.86147961  40.87981775],0.0
[-73.86324874  40.88024182],[-73.86147961  40.87981775],0.0
[-73.89840403  40.88457615],[-73.89723399  40.88570397],0.0
[-73.93125002  40.62332084],[-73.93028165  40.62338034],0.0
[-73.91108105  40.63693188],[-73.91274791  40.63842738],0.0
[-73.91108105  40.63693188],[-73.91274791  40.63842738],0.0
[-73.88226102  40.67259451],[-73.88193925  40.6713407 ],0.0
[-73.84598614  40.78085658],[-73.84593968  40.78168546],0.0
[-73.90160121  40.81969486],[-73.90310328  40.81890186],0.0
[-73.93836817  40.6846256 ],[-73.9385193   40.68535452],0.0
[-74.00396899  40.74286301],[-74.00112917  40.7416681 ],0.0
[-73.94768749  40.79031446],[-73.94607669  40.78964886],0.0
[-73.89050129  40.74694194],[-73.89143129  40.74684474],0.0
[-74.01146084  40.73302841],[-74.0038256   40.76013314],0.0
[-73.99819537  40.72106367],[-73.99765482  40.72083591],0.0
[-73.93005328  40.63038844],[-73.9302512   40.63214355],0.0
[-73.81435586  40.76741566],[-73.81423006  40.76630931],0.0
[-73.74821616  40.60485029],[-73.74888641  40.60662967],0.0
[-73.98979085  40.75723313],[-73.98694874  40.7560359 ],0.0
[-73.97950261  40.73978195],[-73.97907686  40.74039375],0.0
[-73.91017483  40.85198255],[-73.90850022  40.853817  ],0.0
[-73.89791733  40.86143142],[-73.89737275  40.86243236],0.0
[-73.87917067  40.82858218],[-73.88011211  40.82851167],0.0
[-73.97603287  40.72369147],[-73.97559323  40.72428353],0.0
[-73.74510884  40.70768071],[-73.74750426  40.7071483 ],0.0
[-73.95829178  40.66977893],[-73.95559248  40.66922921],0.0
[-73.82603759  40.58296253],[-73.8251205   40.58124313],0.0
[-74.16241044  40.62241213],[-74.16407321  40.62263541],0.0
[-73.78700797  40.59255578],[-73.78724334  40.59482412],0.0
[-73.79647606  40.69869308],[-73.79521218  40.69696227],0.0
[-73.82421553  40.66922678],[-73.8233034   40.66906156],0.0
[-73.94269629  40.66405513],[-73.94408199  40.66412857],0.0
