node1,node2,123risksum
[-73.97348587  40.7241607 ],[-73.97445581  40.72258422],0.0
[-73.90376805  40.85391366],[-73.90298865  40.85477311],0.0
[-73.9852172   40.76859463],[-73.98236545  40.76739215],0.0
[-73.85960736  40.68230323],[-73.85878577  40.68063046],4.0
[-73.85960736  40.68230323],[-73.85878577  40.68063046],4.0
[-73.86241983  40.66778255],[-73.86607438  40.66725643],4.0
[-73.86241983  40.66778255],[-73.86607438  40.66725643],4.0
[-73.87513874  40.75663382],[-73.87606788  40.75653623],2.0
[-73.98353501  40.72605278],[-73.9812113  40.7250728],7.0
[-73.82585946  40.72046263],[-73.82383917  40.72082834],1.0
[-73.98179026  40.69202542],[-73.98148624  40.6920139 ],1.0
[-73.87635467  40.82060743],[-73.87613504  40.81964491],2.0
[-73.94646134  40.80066531],[-73.94697367  40.7999617 ],3.0
[-73.88446532  40.84598573],[-73.88560317  40.84654356],2.0
[-74.1431179   40.62731662],[-74.14400138  40.62747618],2.0
[-73.8992717   40.85224936],[-73.90001148  40.85252067],3.0
[-73.90022588  40.82667629],[-73.9005054   40.82600762],3.0
[-73.91957807  40.65584225],[-73.91802223  40.65448292],2.0
[-73.99332397  40.72238008],[-73.99320353  40.72233136],7.0
[-73.92157982  40.70311463],[-73.91995755  40.70476409],5.0
[-73.99130942  40.71602305],[-73.99188986  40.71489867],7.0
[-74.0410675   40.60782834],[-74.02584546  40.67562386],2.0
[-73.76154125  40.59984656],[-73.76665003  40.59631508],2.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],2.0
[-73.84906485  40.57781781],[-73.84820097  40.57810677],2.0
[-73.7876421   40.68843485],[-73.78834701  40.68887992],6.0
[-73.7876421   40.68843485],[-73.78834701  40.68887992],6.0
[-73.90351378  40.8556148 ],[-73.90277846  40.8567339 ],5.0
[-73.91205403  40.82366052],[-73.91384     40.82418799],2.0
[-73.9451683   40.79089401],[-73.94467602  40.79156954],3.0
[-73.92724963  40.69614172],[-73.92825893  40.69511025],5.0
[-73.93599606  40.67612018],[-73.9359234   40.67689534],2.0
[-73.86869034  40.68464637],[-73.86759925  40.6849573 ],2.0
[-73.86272634  40.74986794],[-73.86309725  40.75067209],2.0
[-73.91449524  40.80556137],[-73.9174799  40.8068221],2.0
[-73.9105817   40.85018159],[-73.90921546  40.85180094],5.0
[-73.95655769  40.65745362],[-73.95321867  40.65766092],2.0
[-73.98870191  40.71418554],[-73.98716535  40.71431213],2.0
[-73.91977851  40.6632905 ],[-73.9196267   40.66255605],3.0
[-73.80774201  40.70058169],[-73.8078809   40.70118807],3.0
[-73.82795308  40.70228996],[-73.8272522   40.70067722],2.0
[-73.89450337  40.72909801],[-73.89327388  40.7271921 ],3.0
[-73.94193079  40.70072523],[-73.94114917  40.70028113],3.0
[-73.99750145  40.65742847],[-73.99969841  40.65875078],3.0
[-73.95115829  40.68047861],[-73.94955689  40.6803904 ],1.0
[-73.91030272  40.69669944],[-73.91185976  40.69511565],3.0
[-73.92044755  40.68518507],[-73.91770109  40.68550036],2.0
[-73.9105817   40.85018159],[-73.90921546  40.85180094],5.0
[-73.88730461  40.67909754],[-73.88763696  40.68040478],9.0
[-73.88730461  40.67909754],[-73.88763696  40.68040478],9.0
[-73.88730461  40.67909754],[-73.88763696  40.68040478],9.0
[-73.88730461  40.67909754],[-73.88763696  40.68040478],9.0
[-73.9497506   40.59063362],[-73.95094876  40.59050133],4.0
[-73.9497506   40.59063362],[-73.95094876  40.59050133],4.0
[-73.96059993  40.66002738],[-73.96177229  40.65996519],5.0
[-73.96059993  40.66002738],[-73.96177229  40.65996519],5.0
[-73.96534103  40.67881812],[-73.96822664  40.6794191 ],1.0
[-73.87919157  40.64165238],[-73.88494836  40.64680217],3.0
[-73.93646388  40.84048139],[-73.93604128  40.84106789],2.0
[-73.97514317  40.68087191],[-73.97469118  40.68026662],2.0
[-73.78652891  40.68511101],[-73.78598041  40.68477697],2.0
[-73.89450337  40.72909801],[-73.89327388  40.7271921 ],2.0
[-73.83639065  40.8358376 ],[-73.83751989  40.83789711],2.0
[-73.9120571  40.8350126],[-73.91059521  40.83750301],2.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],2.0
[-73.99027621  40.75656757],[-73.99072636  40.75595041],2.0
[-73.95691803  40.81554509],[-73.9557069   40.81414396],2.0
